[2014-07-11 16:00:53.865] [DEBUG] normal - 2014-07-11 16:00:53.865 ::1 -- GET /m/js/lib/gmu/gmu.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:00:53.881] [DEBUG] normal - 2014-07-11 16:00:53.881 ::1 -- GET /m/css/main.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:00:53.897] [DEBUG] normal - 2014-07-11 16:00:53.896 ::1 -- GET /m/js/require.js HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:31.900] [DEBUG] normal - 2014-07-11 16:32:31.900 ::1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:32.556] [DEBUG] normal - 2014-07-11 16:32:32.556 ::1 -- GET /m/js/lib/gmu/gmu.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:32.562] [DEBUG] normal - 2014-07-11 16:32:32.562 ::1 -- GET /m/css/main.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:32.564] [DEBUG] normal - 2014-07-11 16:32:32.564 ::1 -- GET /images/client.png HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:32.589] [DEBUG] normal - 2014-07-11 16:32:32.589 ::1 -- GET /m/js/require.js HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 16:32:32.831] [DEBUG] normal - 2014-07-11 16:32:32.830 ::1 -- GET /m/images/favicon.ico HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-11 17:13:18.748] [DEBUG] normal - 2014-07-11 17:13:18.748 ::1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
